CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,330.2,11.938,apc_propellers_13x7,apc_propellers_13x7,177.8,PER3_13x7.dat,6.35,0.047899104
UAV,330.2,12.192,apc_propellers_13x8,apc_propellers_13x8,203.2,PER3_13x8.dat,6.35,0.049033079
UAV,330.2,10.668,apc_propellers_13x8E,apc_propellers_13x8E,203.2,PER3_13x8E.dat,6.35,0.030980197
UAV,330.2,14.986,apc_propellers_13x9,apc_propellers_13x9,228.6,PER3_13x9.dat,7.9375,0.060962496
UAV,355.6,16.256,apc_propellers_14x10,apc_propellers_14x10,254,PER3_14x10.dat,7.9375,0.073980529
UAV,355.6,11.176,apc_propellers_14x10E,apc_propellers_14x10E,254,PER3_14x10E.dat,6.35,0.03401925
UAV,355.6,15.494,apc_propellers_14x11,apc_propellers_14x11,279.4,PER3_14x11.dat,7.9375,0.072846554
UAV,355.6,17.018,apc_propellers_14x12,apc_propellers_14x12,304.8,PER3_14x12.dat,7.9375,0.0771103
UAV,355.6,11.176,apc_propellers_14x12E,apc_propellers_14x12E,304.8,PER3_14x12E.dat,6.35,0.035017148
UAV,355.6,15.748,apc_propellers_14x12N,apc_propellers_14x12N,304.8,PER3_14x12N.dat,7.9375,0.066995243
UAV,355.6,15.748,apc_propellers_14x13,apc_propellers_14x13,330.2,PER3_14x13.dat,7.9375,0.068900321
UAV,355.6,15.748,apc_propellers_14x13N,apc_propellers_14x13N,330.2,PER3_14x13N.dat,7.9375,0.068900321
UAV,355.6,16.002,apc_propellers_14x13_5,apc_propellers_14x13_5,342.9,PER3_14x135.dat,7.9375,0.070034296
UAV,355.6,16.256,apc_propellers_14x14,apc_propellers_14x14,355.6,PER3_14x14.dat,7.9375,0.0680385
UAV,355.6,11.684,apc_propellers_14x14E,apc_propellers_14x14E,355.6,PER3_14x14E.dat,6.35,0.036015046
UAV,355.6,16.002,apc_propellers_14x14N,apc_propellers_14x14N,355.6,PER3_14x14N.dat,7.9375,0.068900321
UAV,355.6,10.668,apc_propellers_14x4W,apc_propellers_14x4W,101.6,PER3_14x4W.dat,6.35,0.056154442
UAV,355.6,7.62,apc_propellers_14x4_7SF,apc_propellers_14x4_7SF,119.38,PER3_14x47SF.dat,6.35,0.02494745
UAV,355.6,12.954,apc_propellers_14x5N,apc_propellers_14x5N,127,PER3_14x5N.dat,7.9375,0.0498949
UAV,355.6,9.652,apc_propellers_14x5_5MR,apc_propellers_14x5_5MR,139.7,PER3_14x55MR.dat,6.35,0.030073017
UAV,355.6,15.24,apc_propellers_14x6,apc_propellers_14x6,152.4,PER3_14x6.dat,7.9375,0.07121363
