Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,U8II KV190,T-Motor,309.99,0,10,26.1,87.1,10,29.1,14.5,7,277,50210.6131,77.99298287,50132.40303,0.21709387,190,0.050259456,0.22940198,43.7,1048.8,,,48,1.3,36S42P,,,,,,6,12,"24,32","6,20",2,U8II KV190.jpg,https://store.tmotor.com/goods.php?id=479,para_motor.prt,,U8II.jpg,
Motor,D,U10II KV100,T-Motor,339.99,0,10,30.1,98.6,10,33.1,14.5,7,415,82418.0676,88.7136678,82329.13684,0.21709387,100,0.095492966,0.300476627,32.4,1600,,,101,1,36S42P,,,,,,8,14,"24,32","6,20",2,U10II KV100.jpg,https://store.tmotor.com/goods.php?id=700,para_motor.prt,,U10II.jpg,
Motor,D,U12II KV60,T-Motor,369.9,0,10,40,106.8,18,47.6,14.5,7,803,113454.32,127.5761507,113326.3531,0.390768966,60,0.159154943,0.581151683,41,4000,,,75,1.7,36S42P,,,,,,22,25,"24,34","6,20",2,U12II KV60.jpg,https://store.tmotor.com/goods.php?id=1070 ,para_motor.prt,,U12II.jpg,
Motor,D,U12II KV120,T-Motor,369.9,0,10,40,106.8,18,47.6,14.5,7,778,113454.32,127.5761507,113326.3531,0.390768966,120,0.079577472,0.536511204,95,4560,,,22,1.5,36S42P,,,,,,10,14,"24,32","6,20",2,U12II KV120.jpg,https://store.tmotor.com/goods.php?id=1071,para_motor.prt,,U12II.jpg,
Motor,D,P60 KV170,T-Motor,107.9,0,6,33.5,69,15,40.8,0,6,375,19758.82136,14.17188782,19744.32383,0.325640805,170,0.056172333,0.198599187,38,1800,,,80,1,24S28P,,,,,,6,14,"16,24","4,20",2,P60 KV170.jpg,https://store.tmotor.com/goods.php?id=931 ,para_motor.prt,,P60.jpg,
Motor,D,P60 KV340,T-Motor,107.9,0,6,33.5,69,15,40.8,0,6,375,19758.82136,14.17188782,19744.32383,0.325640805,340,0.028086166,0.150126874,65,1550,,,35,2,24S28P,,,,,,6,8,"16,24","4,20",2,P60 KV340.jpg,https://store.tmotor.com/goods.php?id=932,para_motor.prt,,P60.jpg,
Motor,D,P80III KV100,T-Motor,199.9,0,10,40,91.6,18,53.5,0,10,649,61467.4018,143.3891609,61323.62187,0.390768966,100,0.095492966,0.435863762,60,2700,,,48,1.6,36S42P,,,,,,6,14,"18,34","8,30",2,P80III KV100.jpg,https://store.tmotor.com/goods.php?id=783 ,para_motor.prt,,P80III.jpg,
Motor,D,P80III KV120,T-Motor,199.9,0,10,40,91.6,18,53.5,0,10,649,61467.4018,143.3891609,61323.62187,0.390768966,120,0.079577472,0.408223816,70,3600,,,38,2,36S42P,,,,,,6,14,"18,34","8,30",2,P80III KV120.jpg,https://store.tmotor.com/goods.php?id=784,para_motor.prt,,P80III.jpg,
Motor,D,Antigravity MN2806 KV650,T-Motor,59.9,0,4,18.4,35,6,26,26,6,46,1309.042064,1.783921972,1307.127886,0.130256322,400,0.023873241,0.029725662,9.4,216,,,645,0.2,12S14P,,,,,,4,6,"10,14","2,8",2,Antigravity MN2806 KV400.jpg,https://store.tmotor.com/goods.php?id=1150 ,para_motor.prt,,Antigravity MN2806.jpg,
Motor,D,Antigravity MN2806 KV401,T-Motor,59.9,0,4,18.4,35,6,26,26,6,46,1309.042064,1.783921972,1307.127886,0.130256322,650,0.014691226,0.028015068,12.3,275,,,275,0.2,12S14P,,,,,,4,6,"10,14","2,8",2,Antigravity MN2806 KV650.jpg,https://store.tmotor.com/goods.php?id=1151,para_motor.prt,,Antigravity MN2806.jpg,
Motor,D,Antigravity MN4004 KV300,T-Motor,72.95,0,4,19,44.35,4,27.5,26,6,53,3371.899948,1.886840548,3369.92627,0.086837548,300,0.031830989,0.04734574,9,216,,,452,0.2,18S24P,,,,,,4,6,"12,18","3,8",2,Antigravity MN4004 KV400.jpg,https://store.tmotor.com/goods.php?id=438 ,para_motor.prt,,Antigravity MN4004.jpg,
Motor,D,Antigravity MN4004 KV400,T-Motor,72.95,0,4,19,44.35,4,27.5,26,6,53,3371.899948,1.886840548,3369.92627,0.086837548,400,0.023873241,0.039844113,12,300,,,359,0.2,18S24P,,,,,,4,6,"12,18","3,8",2,Antigravity MN4004 KV300.jpg,https://store.tmotor.com/goods.php?id=439,para_motor.prt,,Antigravity MN4004.jpg,
Motor,D,Antigravity MN4006 KV380,T-Motor,74.95,0,4,21,44.35,6,29.5,26,6,68,3372.080591,2.024065315,3369.92627,0.130256322,380,0.025129728,0.057054108,16,380,,,194,0.3,18S24P,,,,,,4,6,"12,18","3,8",2,Antigravity MN4006 KV380.jpg,https://store.tmotor.com/goods.php?id=440 ,para_motor.prt,,Antigravity MN4006.jpg,
Motor,D,Antigravity MN5006 KV300,T-Motor,84.99,0,4,25,55.6,6,30,26,6,108,8326.437745,2.058371507,8324.249117,0.130256322,300,0.031830989,0.090031632,20,500,,,125,0.6,24S28P,,,,,,4,6,"16,20","4,12",2,Antigravity MN5006 KV300.jpg,https://store.tmotor.com/goods.php?id=996 ,para_motor.prt,,Antigravity MN5006.jpg,
