        90x34_4_400_36_460                                 (90x34_4_400_36_460.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3493      0.7029      36.905    4845.783     168.112  
         4.5        0.11      0.0550      0.3552      0.7062      37.079    4868.795     170.967  
         8.9        0.22      0.1112      0.3625      0.7130      37.441    4915.704     174.474  
        13.4        0.33      0.1681      0.3711      0.7242      38.031    4993.591     178.633  
        17.9        0.44      0.2251      0.3811      0.7406      38.890    5105.995     183.444  
        22.4        0.55      0.2814      0.3922      0.7626      40.043    5257.343     188.862  
        26.8        0.66      0.3358      0.4046      0.7907      41.518    5451.174     194.797  
        31.3        0.77      0.3898      0.4174      0.8199      43.047    5652.971     200.934  
        35.8        0.87      0.4419      0.4294      0.8500      44.629    5860.964     206.667  
        40.3        0.98      0.4912      0.4395      0.8808      46.252    6073.382     211.568  
        44.7        1.09      0.5369      0.4473      0.9111      47.848    6282.260     215.322  
        49.2        1.20      0.5831      0.4535      0.9356      49.135    6450.424     218.312  
        53.7        1.31      0.6212      0.4546      0.9602      50.422    6619.473     218.784  
        58.2        1.42      0.6556      0.4519      0.9801      51.468    6757.545     217.548  
        62.6        1.53      0.6898      0.4469      0.9919      52.085    6838.086     215.097  
        67.1        1.64      0.7176      0.4368      0.9988      52.447    6886.765     210.309  
        71.6        1.75      0.7449      0.4244      0.9969      52.340    6872.604     204.261  
        76.1        1.86      0.7695      0.4089      0.9878      51.871    6810.649     196.798  
        80.5        1.97      0.7917      0.3907      0.9718      51.026    6700.015     188.120  
        85.0        2.08      0.8141      0.3713      0.9479      49.765    6534.506     178.746  
        89.5        2.19      0.8297      0.3484      0.9184      48.223    6331.824     167.685  
        94.0        2.30      0.8441      0.3250      0.8844      46.440    6097.279     156.445  
        98.4        2.41      0.8573      0.3013      0.8455      44.388    5829.101     145.002  
       102.9        2.52      0.8693      0.2771      0.8017      42.095    5527.291     133.357  
       107.4        2.62      0.8799      0.2524      0.7530      39.533    5191.848     121.509  
       111.8        2.73      0.8890      0.2274      0.6992      36.717    4820.116     109.437  



         PROP RPM =       520

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3493      0.7026      46.909    5684.834     197.315  
         4.5        0.10      0.0508      0.3548      0.7055      47.097    5708.731     200.395  
         8.9        0.20      0.1025      0.3613      0.7115      47.486    5756.525     204.104  
        13.4        0.30      0.1550      0.3691      0.7209      48.129    5833.527     208.488  
        17.9        0.40      0.2078      0.3780      0.7346      49.041    5944.161     213.524  
        22.4        0.50      0.2601      0.3880      0.7531      50.275    6092.854     219.166  
        26.8        0.61      0.3112      0.3988      0.7766      51.844    6283.145     225.483  
        31.3        0.71      0.3624      0.4112      0.8017      53.520    6486.712     232.228  
        35.8        0.81      0.4124      0.4232      0.8285      55.304    6703.555     238.972  
        40.3        0.91      0.4603      0.4341      0.8566      57.181    6931.019     245.267  
        44.7        1.01      0.5055      0.4430      0.8850      59.085    7161.139     250.437  
        49.2        1.11      0.5475      0.4500      0.9126      60.923    7384.177     254.259  
        53.7        1.21      0.5861      0.4539      0.9382      62.626    7591.285     256.507  
        58.2        1.31      0.6215      0.4550      0.9607      64.128    7773.610     256.957  
        62.6        1.41      0.6536      0.4527      0.9792      65.361    7922.303     255.833  
        67.1        1.51      0.6860      0.4488      0.9910      66.153    8017.891     253.585  
        71.6        1.62      0.7121      0.4403      0.9983      66.649    8078.076     248.639  
