        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        85.0        0.90      0.7482      0.2528      0.3053     114.617    5016.603     378.354  
        89.5        0.95      0.7695      0.2439      0.3015     113.195    4953.763     365.090  
        94.0        1.00      0.7906      0.2345      0.2961     111.211    4867.025     350.927  
        98.4        1.05      0.8087      0.2242      0.2900     108.904    4766.127     335.640  
       102.9        1.09      0.8251      0.2133      0.2827     106.155    4645.757     319.229  
       107.4        1.14      0.8427      0.2022      0.2738     102.829    4500.604     302.593  
       111.8        1.19      0.8558      0.1900      0.2640      99.115    4337.751     284.383  



         PROP RPM =       1560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2922      0.2714     129.569    5234.331     513.239  
         4.5        0.04      0.0469      0.2937      0.2748     131.192    5299.827     515.712  
         8.9        0.09      0.0930      0.2953      0.2786     133.002    5373.288     518.634  
        13.4        0.13      0.1391      0.2969      0.2810     134.236    5421.082     521.557  
        17.9        0.18      0.1852      0.2986      0.2830     135.175    5459.140     524.479  
        22.4        0.22      0.2288      0.2995      0.2874     137.186    5541.452     526.053  
        26.8        0.26      0.2736      0.3005      0.2893     138.125    5579.510     527.852  
        31.3        0.31      0.3146      0.3008      0.2938     140.271    5666.248     528.526  
        35.8        0.35      0.3575      0.3010      0.2956     141.209    5703.421     528.751  
        40.3        0.40      0.3991      0.3009      0.2978     142.148    5744.134     528.526  
        44.7        0.44      0.4357      0.2998      0.3020     144.160    5825.561     526.503  
        49.2        0.48      0.4743      0.2985      0.3039     145.098    5860.964     524.255  
        53.7        0.53      0.5112      0.2968      0.3057     146.037    5898.137     521.332  
        58.2        0.57      0.5426      0.2941      0.3093     147.646    5964.518     516.611  
        62.6        0.61      0.5760      0.2910      0.3105     148.183    5988.415     511.216  
        67.1        0.66      0.6075      0.2874      0.3115     148.719    6007.886     504.696  
        71.6        0.70      0.6371      0.2831      0.3121     148.987    6019.392     497.278  
        76.1        0.75      0.6647      0.2782      0.3122     149.121    6022.933     488.510  
        80.5        0.79      0.6905      0.2725      0.3117     148.853    6013.197     478.618  
        85.0        0.83      0.7145      0.2661      0.3106     148.317    5990.185     467.378  
        89.5        0.88      0.7368      0.2590      0.3085     147.244    5951.242     454.789  
        94.0        0.92      0.7574      0.2512      0.3056     145.903    5894.597     441.075  
        98.4        0.97      0.7765      0.2427      0.3017     144.026    5820.251     426.238  
       102.9        1.01      0.7942      0.2336      0.2969     141.746    5726.433     410.276  
       107.4        1.05      0.8108      0.2239      0.2910     138.930    5612.258     393.416  
       111.8        1.10      0.8259      0.2138      0.2841     135.577    5478.612     375.431  



         PROP RPM =       1680

