        83x15_5_1000_41_1270                                 (83x15_5_1000_41_1270.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
         8.9        0.08      0.0809      0.2863      0.2686     287.112   12063.567     973.423  
        13.4        0.11      0.1204      0.2877      0.2721     290.867   12222.880     978.144  
        17.9        0.15      0.1600      0.2892      0.2743     293.281   12320.238     983.315  
        22.4        0.19      0.1981      0.2905      0.2782     297.304   12497.253     987.811  
        26.8        0.23      0.2372      0.2917      0.2801     299.316   12576.910     991.857  
        31.3        0.27      0.2737      0.2926      0.2841     303.607   12753.925     995.005  
        35.8        0.30      0.3116      0.2934      0.2858     305.484   12833.582     997.478  
        40.3        0.34      0.3491      0.2941      0.2877     307.630   12922.089     999.950  
        44.7        0.38      0.3825      0.2939      0.2916     311.653   13099.104     999.276  
        49.2        0.42      0.4180      0.2939      0.2934     313.799   13178.761     999.276  
        53.7        0.46      0.4490      0.2930      0.2972     317.688   13346.925     996.353  
        58.2        0.49      0.4822      0.2922      0.2989     319.565   13426.582     993.431  
        62.6        0.53      0.5142      0.2911      0.3008     321.442   13506.238     989.609  
        67.1        0.57      0.5413      0.2889      0.3037     324.661   13639.000     982.191  
        71.6        0.61      0.5707      0.2867      0.3050     326.002   13700.955     974.772  
        76.1        0.65      0.5986      0.2842      0.3062     327.343   13754.059     966.229  
        80.5        0.68      0.6218      0.2805      0.3082     329.355   13842.567     953.640  
        85.0        0.72      0.6470      0.2768      0.3084     329.757   13851.417     941.275  
        89.5        0.76      0.6708      0.2727      0.3085     329.757   13860.268     927.112  
        94.0        0.80      0.6931      0.2680      0.3081     329.355   13833.716     911.151  
        98.4        0.83      0.7115      0.2623      0.3078     328.952   13824.865     891.817  
       102.9        0.87      0.7314      0.2565      0.3061     327.209   13745.209     872.034  
       107.4        0.91      0.7499      0.2501      0.3038     324.661   13639.000     850.452  
       111.8        0.95      0.7673      0.2432      0.3008     321.442   13506.238     827.072  



