Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 043 Ah Ag,KDE6213XF-185,41x19_5_1000_51_130,1.7,0.43,0.415,0.789,54.82,523.52,28.00,35.94,18.01,10303.58,367.98,10.09,39.47,376.95,15.14,47.17,9.36,2900.00,191.55,13.41,20.57,196.43,4.66,47.12,2.55,245.36,52.63,22.50,2755.00,50.00,0.01,0.01,6.8632323558705615,35.94,0.5338022046648927,0.0002337083537148758
Eagle 043 Ah Ag,KDE6213XF-185,41x19_6_1000_51_140,1.7,0.43,0.415,0.929,52.63,502.58,28.00,36.15,18.09,10349.92,369.64,9.68,37.86,361.57,15.10,51.52,9.39,2900.00,192.12,12.90,19.70,188.12,4.62,51.52,2.55,242.99,52.63,21.75,2755.00,50.00,0.01,0.01,7.423232355870562,36.15,0.49641653579732464,0.0002326588031598312
Eagle 043 Ah Ag,KDE6213XF-185,41x22_2_800_46_70,1.7,0.43,0.415,0.392,59.46,567.81,28.00,31.89,17.84,10205.57,364.48,10.94,42.89,409.60,15.23,22.79,9.30,2900.00,190.36,14.48,22.42,214.13,4.76,22.77,2.55,250.39,52.63,24.03,2755.00,50.00,0.01,0.01,5.275232355870562,22.77,0.439999749934834,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x22_3_800_46_80,1.7,0.43,0.415,0.54,54.46,520.04,28.00,31.90,18.02,10311.26,368.26,10.02,39.21,374.43,15.13,27.17,9.36,2900.00,191.64,13.33,20.43,195.08,4.65,27.15,2.55,244.97,52.63,22.38,2755.00,50.00,0.01,0.01,5.867232355870562,27.15,0.47170180589322874,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x22_4_800_46_80,1.7,0.43,0.415,0.667,53.68,512.62,28.00,32.05,18.05,10327.70,368.85,9.88,38.63,368.91,15.12,28.10,9.37,2900.00,191.85,13.14,20.11,192.04,4.64,28.08,2.55,244.11,52.63,22.11,2755.00,50.00,0.01,0.01,6.375232355870562,28.08,0.44898525439078646,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x22_5_800_46_80,1.7,0.43,0.415,0.794,53.22,508.23,28.00,32.25,18.07,10337.41,369.19,9.79,38.29,365.67,15.11,28.76,9.38,2900.00,191.96,13.04,19.93,190.28,4.63,28.74,2.55,243.61,52.63,21.95,2755.00,50.00,0.01,0.01,6.883232355870562,28.74,0.42562323296612864,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x22_6_800_46_90,1.7,0.43,0.415,0.942,50.05,477.90,28.00,32.43,18.18,10404.51,371.59,9.21,35.97,343.48,15.04,32.71,9.42,2900.00,192.78,12.30,18.68,178.38,4.56,32.71,2.55,240.22,52.63,20.86,2755.00,50.00,0.01,0.01,7.475232355870562,32.43,0.44223513600314346,0.00023143787507737027
Eagle 043 Ah Ag,KDE6213XF-185,41x23_6_600_36_50,1.7,0.43,0.415,0.936,50.11,478.53,28.00,30.68,18.18,10403.12,371.54,9.22,36.01,343.87,15.04,17.36,9.42,2900.00,192.77,12.31,18.68,178.42,4.56,17.34,2.55,240.23,52.63,20.87,2755.00,50.00,0.01,0.01,7.451232355870562,17.34,0.23722037019375863,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x24_2_800_51_80,1.7,0.43,0.415,0.401,55.85,533.30,28.00,28.16,17.97,10281.94,367.21,10.27,40.24,384.27,15.16,22.80,9.35,2900.00,191.28,13.65,20.99,200.45,4.68,22.79,2.55,246.50,52.63,22.85,2755.00,50.00,0.01,0.01,5.311232355870562,22.79,0.43740124659526364,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x24_3_800_51_80,1.7,0.43,0.415,0.529,54.30,518.52,28.00,27.99,18.03,10314.63,368.38,9.99,39.10,373.35,15.13,23.98,9.37,2900.00,191.68,13.29,20.37,194.52,4.65,23.96,2.55,244.81,52.63,22.33,2755.00,50.00,0.01,0.01,5.823232355870562,23.96,0.41942439511253526,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x24_4_800_51_80,1.7,0.43,0.415,0.656,53.45,510.41,28.00,28.07,18.06,10332.58,369.02,9.83,38.47,367.36,15.11,24.82,9.38,2900.00,191.90,13.09,20.03,191.26,4.63,24.80,2.55,243.89,52.63,22.04,2755.00,50.00,0.01,0.01,6.331232355870561,24.8,0.3992955048366927,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x24_5_800_51_90,1.7,0.43,0.415,0.803,50.08,478.24,28.00,28.25,18.18,10403.77,371.56,9.21,36.00,343.80,15.04,28.43,9.42,2900.00,192.77,12.31,18.70,178.60,4.57,28.39,2.55,240.28,52.63,20.89,2755.00,50.00,0.01,0.01,6.919232355870562,28.25,0.41618989345241664,0.0002314565615243837
Eagle 043 Ah Ag,KDE6213XF-185,41x24_6_800_51_90,1.7,0.43,0.415,0.931,49.77,475.23,28.00,28.41,18.19,10410.43,371.80,9.16,35.77,341.58,15.04,28.95,9.42,2900.00,192.85,12.23,18.58,177.40,4.56,28.92,2.55,239.94,52.63,20.77,2755.00,50.00,0.01,0.01,7.431232355870562,28.41,0.3897098524370575,0.00023130715438407748
