Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 200 Ah Li,KDE7208XF-135,27x7_2_2800_51_120,63.5,200,0.445,0.156,206.66,1973.50,33.30,65.04,11.66,5794.99,174.02,43.77,157.85,1507.39,22.12,47.14,6.83,2257.89,102.06,50.24,121.71,1162.29,15.16,47.11,4.07,925.77,61.05,56.36,2145.00,58.00,0.40,0.15,66.25123235587056,47.11,0.07248533255633137,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x7_3_2800_51_130,63.5,200,0.445,0.207,198.47,1895.22,33.30,67.40,12.02,5974.87,179.43,42.04,150.45,1436.68,21.77,52.95,6.94,2257.89,103.70,48.65,115.09,1099.02,14.69,52.92,4.07,897.16,61.05,54.99,2145.00,58.00,0.40,0.15,66.45523235587056,52.92,0.08117487851003645,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x7_4_2800_51_130,63.5,200,0.445,0.254,197.79,1888.80,33.30,68.51,12.05,5989.62,179.87,41.90,149.79,1430.42,21.74,54.19,6.95,2257.89,103.84,48.51,114.45,1092.96,14.65,54.16,4.07,894.42,61.05,54.85,2145.00,58.00,0.40,0.15,66.64323235587057,54.16,0.08284257603760256,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x7_5_2800_51_140,63.5,200,0.445,0.306,191.27,1826.45,33.30,70.02,12.34,6132.88,184.17,40.52,144.01,1375.24,21.47,59.23,7.03,2257.89,105.14,47.22,109.36,1044.32,14.29,59.21,4.07,872.43,61.05,53.73,2145.00,58.00,0.40,0.15,66.85123235587056,59.21,0.09028521490201895,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x7_6_2800_51_140,63.5,200,0.445,0.352,190.84,1822.37,33.30,70.65,12.36,6142.26,184.45,40.42,143.60,1371.30,21.46,60.03,7.04,2257.89,105.24,47.13,108.97,1040.58,14.26,60.01,4.07,870.73,61.05,53.65,2145.00,58.00,0.40,0.15,67.03523235587056,60.01,0.09125391386111112,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x8_2_2400_51_100,63.5,200,0.445,0.16,191.49,1828.59,33.30,57.30,12.33,6127.98,184.02,40.56,144.35,1378.42,21.49,35.54,7.03,2257.89,105.07,47.30,109.71,1047.63,14.31,35.52,4.07,873.92,61.05,53.81,2145.00,58.00,0.40,0.15,66.26723235587056,35.52,0.054639298765174336,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x8_3_2400_51_100,63.5,200,0.445,0.206,189.64,1810.89,33.30,58.57,12.41,6168.64,185.24,40.17,142.68,1362.52,21.41,37.04,7.05,2257.89,105.45,46.92,108.22,1033.40,14.21,37.02,4.07,867.48,61.05,53.48,2145.00,58.00,0.40,0.15,66.45123235587056,37.02,0.05678901913512842,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x8_4_2400_51_110,63.5,200,0.445,0.259,181.43,1732.51,33.30,60.33,12.78,6348.75,190.65,38.43,135.55,1294.41,21.08,41.68,7.16,2257.89,107.09,45.27,101.99,973.98,13.77,41.66,4.07,840.61,61.05,52.01,2145.00,58.00,0.40,0.15,66.66323235587056,41.66,0.063703587479171,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x8_5_2400_51_110,63.5,200,0.445,0.306,180.92,1727.64,33.30,61.07,12.80,6359.94,190.99,38.33,135.10,1290.09,21.06,42.43,7.17,2257.89,107.19,45.17,101.58,969.99,13.74,42.41,4.07,838.81,61.05,51.91,2145.00,58.00,0.40,0.15,66.85123235587056,42.41,0.06466806221912892,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x8_6_2400_51_120,63.5,200,0.445,0.359,173.98,1661.42,33.30,62.32,13.11,6512.09,195.56,36.86,129.19,1233.70,20.79,46.80,7.26,2257.89,108.58,43.75,96.52,921.65,13.38,46.76,4.07,816.95,61.05,50.64,2145.00,58.00,0.40,0.15,67.06323235587055,46.76,0.07107567831764716,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x9_2_2200_51_90,63.5,200,0.445,0.17,177.00,1690.20,33.30,57.05,12.97,6445.95,193.57,37.50,131.88,1259.36,20.92,34.79,7.22,2257.89,107.95,44.40,98.89,944.34,13.55,34.78,4.07,827.21,61.05,51.25,2145.00,58.00,0.40,0.15,66.30723235587057,34.78,0.05346870544391246,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x9_3_2200_51_90,63.5,200,0.445,0.216,174.85,1669.71,33.30,58.31,13.07,6493.04,194.99,37.04,130.02,1241.61,20.83,36.45,7.25,2257.89,108.38,43.95,97.25,928.68,13.43,36.43,4.07,820.13,61.05,50.83,2145.00,58.00,0.40,0.15,66.49123235587057,36.43,0.055850334889509176,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x9_4_2200_51_100,63.5,200,0.445,0.271,166.17,1586.79,33.30,59.91,13.45,6683.58,200.71,35.21,122.73,1171.96,20.50,41.46,7.37,2257.89,110.12,42.16,91.08,869.76,13.00,41.44,4.07,793.48,61.05,49.21,2145.00,58.00,0.40,0.15,66.71123235587056,41.44,0.06332158482205251,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,27x9_5_2200_51_100,63.5,200,0.445,0.318,165.60,1581.33,33.30,60.69,13.48,6696.12,201.08,35.08,122.23,1167.20,20.48,42.29,7.38,2257.89,110.24,42.03,90.62,865.38,12.96,42.26,4.07,791.50,61.05,49.08,2145.00,58.00,0.40,0.15,66.89923235587057,42.26,0.06439310260873543,0.6552006552006552
