        83x24_6_800_51_1280                                 (83x24_6_800_51_1280.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        85.0        1.04      0.6214      0.4302      0.7197     256.403   15541.910     702.978  
        89.5        1.09      0.6454      0.4283      0.7262     258.683   15674.671     699.830  
        94.0        1.15      0.6679      0.4248      0.7313     260.560   15789.731     694.435  
        98.4        1.20      0.6858      0.4194      0.7365     262.438   15904.791     685.667  
       102.9        1.26      0.7058      0.4139      0.7380     262.974   15931.343     676.225  
       107.4        1.31      0.7244      0.4070      0.7378     262.840   15931.343     664.985  
       111.8        1.37      0.7440      0.3996      0.7346     261.633   15860.537     652.845  



         PROP RPM =       1120

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3627      0.5499     244.736   13771.761     687.466  
         4.5        0.05      0.0336      0.3653      0.5526     245.943   13833.716     692.412  
         8.9        0.10      0.0673      0.3681      0.5560     247.418   13922.223     697.807  
        13.4        0.15      0.1011      0.3712      0.5601     249.162   14019.582     703.652  
        17.9        0.20      0.1348      0.3746      0.5650     251.441   14143.492     710.172  
        22.4        0.25      0.1684      0.3783      0.5708     253.989   14293.955     717.141  
        26.8        0.30      0.2018      0.3823      0.5775     256.939   14462.119     724.559  
        31.3        0.36      0.2349      0.3865      0.5853     260.426   14656.835     732.653  
        35.8        0.41      0.2675      0.3911      0.5942     264.449   14878.104     740.970  
        40.3        0.46      0.2995      0.3957      0.6042     268.875   15125.925     749.963  
        44.7        0.51      0.3308      0.4008      0.6155     273.836   15409.149     759.405  
        49.2        0.56      0.3612      0.4058      0.6279     279.334   15718.925     769.072  
        53.7        0.61      0.3926      0.4108      0.6384     284.028   15984.447     778.963  
        58.2        0.66      0.4242      0.4163      0.6483     288.453   16232.268     789.080  
        62.6        0.71      0.4518      0.4201      0.6617     294.354   16568.597     796.273  
        67.1        0.76      0.4818      0.4244      0.6713     298.645   16807.567     804.142  
        71.6        0.81      0.5110      0.4279      0.6810     303.071   17055.388     811.111  
        76.1        0.86      0.5351      0.4294      0.6934     308.569   17365.164     814.033  
        80.5        0.91      0.5620      0.4314      0.7020     312.324   17577.582     817.406  
        85.0        0.97      0.5877      0.4321      0.7104     316.078   17789.999     819.429  
        89.5        1.02      0.6083      0.4310      0.7205     320.504   18037.820     817.181  
        94.0        1.07      0.6316      0.4298      0.7266     323.320   18188.283     814.933  
        98.4        1.12      0.6535      0.4279      0.7318     325.600   18321.044     810.661  
       102.9        1.17      0.6741      0.4244      0.7359     327.477   18427.253     804.591  
       107.4        1.22      0.6935      0.4201      0.7387     328.684   18498.059     796.273  
       111.8        1.27      0.7117      0.4147      0.7401     329.355   18533.462     785.932  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3627      0.5496     300.791   15798.582     789.080  
         4.5        0.05      0.0314      0.3651      0.5522     302.266   15869.388     794.475  
         8.9        0.09      0.0628      0.3677      0.5552     303.875   15957.895     800.095  
        13.4        0.14      0.0944      0.3706      0.5589     305.887   16064.104     806.390  
        17.9        0.19      0.1259      0.3737      0.5633     308.300   16188.014     813.134  
        22.4        0.24      0.1573      0.3771      0.5685     311.117   16338.477     820.553  
