weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
0.7071103,0.3556,15000.0,1000.0,0.74,60.0,3157.8948,51.8,10100.96,56.13,2870.61,55.42,2.39,30.0,10343.95,28.7,1524.14,29.42,1.22,0.48935536,79.37941,4059.6355,0.019553335,40.587727,2155.4487,0.018830292,kde_direct_KDE6815XF_205,apc_propellers_14x7
0.7071103,0.381,15000.0,1000.0,0.67,60.0,3157.8948,51.8,10130.68,70.73,2705.93,52.24,2.24,30.0,10323.81,30.76,1635.74,31.58,1.32,0.45762268,100.026825,3826.744,0.026138887,43.50099,2313.2742,0.018804945,kde_direct_KDE6815XF_205,apc_propellers_15x7
0.6739529,0.4064,13999.0,1000.0,0.58,60.0,3157.8948,51.8,10138.64,83.76,2661.84,51.39,2.21,30.0,10332.34,29.48,1588.48,30.67,1.28,0.42866707,124.281685,3949.5938,0.031466953,43.741932,2356.96,0.018558621,kde_direct_KDE6815XF_205,apc_propellers_16x5_5MR
0.7198562,0.4064,13999.0,1000.0,0.59,60.0,3157.8948,51.8,10141.43,82.29,2646.35,51.09,2.19,30.0,10333.48,29.15,1582.15,30.54,1.27,0.42861977,114.3145,3676.2205,0.03109566,40.4942,2197.8696,0.018424297,kde_direct_KDE6815XF_205,apc_propellers_16x6
0.7249817,0.4064,13000.0,1000.0,0.65,60.0,3157.8948,51.8,10074.56,88.41,3016.93,58.24,2.51,30.0,10225.02,40.87,2183.15,42.15,1.79,0.43316627,121.9479,4161.3877,0.029304624,56.373833,3011.3171,0.018720657,kde_direct_KDE6815XF_205,apc_propellers_16x7
0.7309238,0.4064,13999.0,1000.0,0.71,60.0,3157.8948,44.4,8545.86,65.87,2641.49,59.49,2.57,30.0,8795.45,27.88,1456.01,32.79,1.37,0.50357103,90.118835,3613.9062,0.024936683,38.143513,1992.0134,0.01914822,kde_direct_KDE6815XF_205,apc_propellers_16x8
0.71192944,0.254,20000.0,2000.0,0.73,142.10527,7363.1577,44.4,19840.91,74.72,3709.06,83.54,1.62,30.0,19915.2,43.6,2945.94,66.35,1.28,0.35583946,104.95422,5209.8706,0.020145265,61.242027,4137.9663,0.01480003,kde_direct_KDE700XF_455_G3,apc_propellers_10x3_8SF
0.71192944,0.254,20000.0,2000.0,0.82,142.10527,7363.1577,44.4,19794.96,78.57,4181.03,94.17,1.83,30.0,19838.19,53.83,3737.01,84.17,1.63,0.3572208,110.36206,5872.8154,0.01879202,75.61143,5249.13,0.014404564,kde_direct_KDE700XF_455_G3,apc_propellers_10x4_7SF
0.72807723,0.254,23000.0,1000.0,0.71,142.10527,7363.1577,44.4,19703.4,61.18,5121.53,115.35,2.26,30.0,19917.79,44.54,2919.33,65.75,1.27,0.3557932,84.02955,7034.3228,0.011945649,61.17483,4009.6433,0.0152569255,kde_direct_KDE700XF_455_G3,apc_propellers_10x5
0.7170096,0.2794,22000.0,2000.0,0.67,142.10527,7363.1577,44.4,19716.8,87.79,4983.93,112.25,2.19,30.0,19807.25,59.67,4054.78,91.32,1.78,0.32525346,122.43908,6950.9946,0.017614614,83.22064,5655.1265,0.014715965,kde_direct_KDE700XF_455_G3,apc_propellers_11x4_5MR
