ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
10,0,91.6,18.0,Both,199.9,2.0,48.0,1.6,0.4358637623494104,0.0954929658551372,100.0,40.0,60.0,2700.0,t_motor_P80IIIKV100,t_motor_P80IIIKV100,14,6,"8,30","18,34",,10.0,53.5,0.649
10,0,91.6,18.0,Both,199.9,2.0,38.0,2.0,0.40822381559907317,0.07957747154594767,120.0,40.0,70.0,3600.0,t_motor_P80IIIKV120,t_motor_P80IIIKV120,14,6,"8,30","18,34",,10.0,53.5,0.649
7,14.5,98.6,10.0,Both,339.99,2.0,101.0,1.0,0.3004766267875881,0.0954929658551372,100.0,30.1,32.4,1600.0,t_motor_U10IIKV100,t_motor_U10IIKV100,14,8,"6,20","24,32",,10.0,33.1,0.415
7,14.5,79.5,18.0,Both,349.9,2.0,80.0,1.5,0.28134884879909566,0.07957747154594767,120.0,51.6,57.3,2783.0,t_motor_U11IIKV120,t_motor_U11IIKV120,12,6,"6,16","24,30",,10.0,54.0,0.772
7,14.5,106.8,18.0,Both,369.9,2.0,22.0,1.5,0.5365112037145049,0.07957747154594767,120.0,40.0,95.0,4560.0,t_motor_U12IIKV120,t_motor_U12IIKV120,14,10,"6,20","24,32",,10.0,47.6,0.778
7,14.5,106.8,18.0,Both,369.9,2.0,75.0,1.7,0.5811516831325473,0.15915494309189535,60.0,40.0,41.0,4000.0,t_motor_U12IIKV60,t_motor_U12IIKV60,25,22,"6,20","24,34",,10.0,47.6,0.803
7,14.5,100.0,20.0,Both,379.9,2.0,18.0,1.5,0.5475096487824439,0.07345612758087477,130.0,57.0,118.0,5659.0,t_motor_U13IIKV130,t_motor_U13IIKV130,14,10,"8,30","26,34",,10.0,60.0,0.99
7,14.5,100.0,20.0,Both,379.9,2.0,73.0,1.7,0.543746651278758,0.14691225516174955,65.0,57.0,68.0,6720.0,t_motor_U13IIKV65,t_motor_U13IIKV65,25,22,"8,30","26,34",,10.0,60.0,0.975
12,0,147.5,18.0,Both,689.9,2.0,12.0,4.5,0.8717275246988208,0.0954929658551372,100.0,55.0,150.0,9942.0,t_motor_U15IIKV100,t_motor_U15IIKV100,24,12,"8,30","26,42",,12.0,83.0,1.74
12,0,147.5,18.0,Both,689.9,2.0,17.0,3.8,0.9154970186510952,0.1193662073189215,80.0,55.0,143.0,8580.0,t_motor_U15IIKV80,t_motor_U15IIKV80,24,12,"8,30","26,42",,12.0,83.0,1.74
6,26,41.8,15.0,Both,109.9,2.0,50.0,0.5,0.06100821800718661,0.013641852265019601,700.0,33.3,25.0,500.0,t_motor_U3KV700,t_motor_U3KV700,4,3,"3,6","10,14",,4.0,38.8,0.128
6,27.5,425.0,18.0,Both,125.9,2.0,116.0,0.3,0.07009425046445468,0.0238732414637843,400.0,37.5,30.0,850.0,t_motor_U5KV400,t_motor_U5KV400,8,3,"3,8","12,18",,4.0,47.05,0.195
6,27.5,60.7,15.0,Both,149.9,2.0,71.0,0.5,0.12799239813632848,0.034104630662549006,280.0,39.5,35.0,800.0,t_motor_U7_V2.0KV280,t_motor_U7_V2.0KV280,8,3,"4,12","16,24",,4.0,45.0,0.317
6,27.5,60.7,15.0,Both,149.9,2.0,33.0,0.9,0.12515987527494624,0.022736420441699334,420.0,39.5,40.0,1180.0,t_motor_U7_V2.0KV420,t_motor_U7_V2.0KV420,8,3,"3,10","12,20",,4.0,45.0,0.296
6,27.5,60.7,15.0,Both,149.9,2.0,21.0,1.1,0.13448246305323588,0.01948836037859943,490.0,39.5,44.0,1300.0,t_motor_U7_V2.0KV490,t_motor_U7_V2.0KV490,8,3,"3,10","12,20",,4.0,45.0,0.299
7,14.5,87.1,10.0,Both,309.99,2.0,170.0,0.7,0.23160446160248901,0.0954929658551372,100.0,26.1,29.3,1406.0,t_motor_U8IIKV100,t_motor_U8IIKV100,12,6,"6,20","24,32",,10.0,29.1,0.272
7,14.5,87.1,10.0,Both,309.99,2.0,85.0,1.0,0.21835878046957247,0.06366197723675814,150.0,26.1,29.7,1272.0,t_motor_U8IIKV150,t_motor_U8IIKV150,12,6,"6,20","24,32",,10.0,29.1,0.273
7,14.5,87.1,10.0,Both,309.99,2.0,48.0,1.3,0.22940198018390023,0.05025945571323011,190.0,26.1,43.7,1048.8,t_motor_U8IIKV190,t_motor_U8IIKV190,12,6,"6,20","24,32",,10.0,29.1,0.277
7,14.5,87.1,10.0,Both,309.99,2.0,225.0,0.5,0.236843351079939,0.11234466571192613,85.0,26.1,19.1,916.8,t_motor_U8IIKV85,t_motor_U8IIKV85,12,6,"6,20","24,32",,10.0,29.1,0.277
7,14.5,87.1,10.0,Both,299.99,2.0,170.0,0.7,0.23160446160248901,0.0954929658551372,100.0,23.95,29.3,1406.0,t_motor_U8LiteKV100,t_motor_U8LiteKV100,12,6,"4,20","22,30",,10.0,26.95,0.238
7,14.5,87.1,10.0,Both,299.99,2.0,85.0,1.0,0.21835878046957247,0.06366197723675814,150.0,23.95,29.7,1272.0,t_motor_U8LiteKV150,t_motor_U8LiteKV150,12,6,"4,20","22,30",,10.0,26.95,0.239
7,14.5,87.1,10.0,Both,299.99,2.0,48.0,1.3,0.22940198018390023,0.05025945571323011,190.0,23.95,43.7,1048.8,t_motor_U8LiteKV190,t_motor_U8LiteKV190,12,6,"4,20","22,30",,10.0,26.95,0.243
7,14.5,87.1,10.0,Both,299.99,2.0,225.0,0.5,0.236843351079939,0.11234466571192613,85.0,23.95,19.1,916.8,t_motor_U8LiteKV85,t_motor_U8LiteKV85,12,6,"4,20","24,30",,10.0,26.95,0.243
7,14.5,87.1,10.0,Both,329.9,2.0,105.0,0.9,0.26790699144115143,0.08681178714103381,110.0,25.05,45.8,2140.0,t_motor_U8LiteLKV110,t_motor_U8LiteLKV110,12,6,"6,20","24,32",,10.0,28.05,0.282
7,14.5,87.1,10.0,Both,329.9,2.0,146.0,0.7,0.26307001456668033,0.10051891142646022,95.0,25.05,38.0,1790.0,t_motor_U8LiteLKV95,t_motor_U8LiteLKV95,12,6,"6,20","24,32",,10.0,28.05,0.28
nan,nan,368.0,80.0,UAM,nan,nan,2285.714285714286,4.76,1.5547731668226183,2.350596082587993,4.0625,90.0,175.0,70000.0,yasa_750R,yasa_750R,217,108,nan,nan,,47.0,98.0,37.0
nan,nan,305.0,90.0,UAM,nan,nan,2666.6666666666665,4.08,0.5116760258096,0.8355634512324506,11.428571428571429,100.0,150.0,60000.0,yasa_P400R,yasa_P400R,190,68,nan,nan,,47.0,107.0,28.2
