BASE_VOLTAGE,BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,MODULE_MASS,MODULE_VOLUME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
,UAV,22000,LiPo,25,UAV,1059.29,XT150,238.0,TattuPro25C22000mAh14S1P,TattuPro25C22000mAh14S1P,,,14S1P,12,50,117.0,51.8,7.35,174
,UAV,1000,LiPo,75,UAV,9.54,XT60,74.0,TurnigyGraphene1000mAh2S75C,TurnigyGraphene1000mAh2S75C,,,2S1P,11,150,17.0,7.4,0.084,35
,UAV,1000,LiPo,75,UAV,16.88,XT60,74.0,TurnigyGraphene1000mAh3S75C,TurnigyGraphene1000mAh3S75C,,,3S1P,13,150,24.0,11.1,0.116,35
,UAV,1000,LiPo,75,UAV,23.65,XT60,75.0,TurnigyGraphene1000mAh4S75C,TurnigyGraphene1000mAh4S75C,,,4S1P,17,150,30.0,14.8,0.148,35
,UAV,1000,LiPo,75,UAV,26.79,XT60,75.0,TurnigyGraphene1000mAh6S75C,TurnigyGraphene1000mAh6S75C,,,6S1P,19,150,43.0,22.2,0.212,35
,UAV,1200,LiPo,75,UAV,27.99,XT60,75.0,TurnigyGraphene1200mAh6S75C,TurnigyGraphene1200mAh6S75C,,,6S1P,19,150,45.0,22.2,0.232,35
,UAV,1300,LiPo,75,UAV,16.96,XT60,74.0,TurnigyGraphene1300mAh3S75C,TurnigyGraphene1300mAh3S75C,,,3S1P,13,150,27.0,11.1,0.137,35
,UAV,1300,LiPo,75,UAV,23.99,XT60,75.0,TurnigyGraphene1300mAh4S75C,TurnigyGraphene1300mAh4S75C,,,4S1P,12,150,36.0,14.8,0.173,35
,UAV,1400,LiPo,75,UAV,27.87,XT60,90.0,TurnigyGraphene1400mAh4S75C,TurnigyGraphene1400mAh4S75C,,,4S1P,17,150,32.0,14.8,0.196,35
,UAV,1400,LiPo,75,UAV,24.0,XT60,90.0,TurnigyGraphene1500mAh3S75C,TurnigyGraphene1500mAh3S75C,,,3S1P,13,150,25.0,11.1,0.156,35
,UAV,1500,LiPo,75,UAV,26.49,XT60,91.0,TurnigyGraphene1500mAh4S75C,TurnigyGraphene1500mAh4S75C,,,4S1P,17,150,33.0,14.8,0.202,35
,UAV,1600,LiPo,75,UAV,30.0,XT60,95.0,TurnigyGraphene1600mAh4S75CSquare,TurnigyGraphene1600mAh4S75CSquare,,,4S1P,14,150,35.0,14.8,0.212,35
