weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,omega_rpm,voltage,thrust,power,current,omega_rpm_at20,thrust_at20,power_at20,current_at20,j_at20,max_omega_rpm,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,thrust_per_weight_at20,power_per_weight_at20,thrust_per_power_at20,motor_name,propeller_name
0.09700962,0.23495,24000.0,1000.0,0.88,13570.51,11.1,14.45,469.63,42.31,13098.93,12.18,582.08,52.44,0.38991502,14114.12,11.66,15.63,552.15,47.37,148.95428,4841.066,0.030768903,125.55455,6000.2295,0.02092496,t_motor_AT2317KV1400,apc_propellers_9_25x6_0
0.09501383,0.2286,23000.0,1000.0,0.52,18799.33,14.8,19.47,610.65,41.26,19057.03,11.54,528.72,35.72,0.27545446,19712.9,15.65,21.37,736.84,47.09,204.91754,6426.959,0.03188406,121.456,5564.6636,0.021826297,t_motor_AT2317KV1400,apc_propellers_9x3N
0.0865317,0.2286,24000.0,1000.0,0.47,18527.82,14.8,17.66,696.98,47.09,18855.67,11.26,592.74,40.05,0.27839604,18589.0,14.85,17.8,703.56,47.37,204.08707,8054.6206,0.025337886,130.12573,6849.9756,0.018996524,t_motor_AT2317KV1400,apc_propellers_9x4_4SFR
0.12201383,0.254,23000.0,2000.0,0.83,9976.09,11.1,15.74,533.79,48.09,10329.26,10.1,421.5,37.97,0.45738122,10268.42,11.53,16.62,606.81,52.63,129.00177,4374.832,0.029487252,82.777504,3454.5264,0.02396204,t_motor_AT2814KV1050,apc_propellers_10x5_5MR
0.11697898,0.2794,14000.0,1000.0,0.7,9943.68,11.1,19.7,544.09,49.02,10179.21,10.23,469.21,42.27,0.42193034,10279.66,11.54,21.04,607.38,52.63,168.40633,4651.1777,0.036207244,87.45161,4011.0625,0.021802604,t_motor_AT2814KV1050,apc_propellers_11x4_6SF
0.11198949,0.2286,23000.0,5000.0,0.69,14108.95,14.8,18.19,606.65,40.99,14358.6,11.29,500.82,33.84,0.36558884,14831.02,15.69,20.28,736.84,46.97,162.42595,5417.0264,0.02998434,100.813034,4472.027,0.02254303,t_motor_AT2814KV1050,apc_propellers_9x3_7SF
0.11598318,0.254,16000.0,1000.0,0.75,11770.8,11.1,19.73,580.17,52.27,11903.75,11.78,530.38,47.78,0.39688414,12377.48,11.74,21.7,679.95,57.89,170.11087,5002.1904,0.034007274,101.566444,4572.9043,0.02221049,t_motor_AT2814KV1200,apc_propellers_10x4_6SF
0.11797898,0.2794,14000.0,1000.0,0.7,10209.71,14.8,20.83,656.57,44.36,10543.16,11.55,586.18,39.61,0.40736532,10333.0,15.03,21.37,684.21,45.53,176.55687,5565.144,0.03172548,97.898796,4968.512,0.019703845,t_motor_AT2814KV900,apc_propellers_11x4_6SF
0.15109105,0.31115,20000.0,1000.0,0.49,10113.72,14.8,24.32,676.84,45.73,11079.99,10.38,472.86,31.95,0.34807438,10147.3,14.86,24.49,684.21,46.04,160.96254,4479.683,0.035931684,68.700294,3129.636,0.021951528,t_motor_AT2814KV900,apc_propellers_12_25x3_75
0.12500963,0.2032,29000.0,1000.0,0.72,18409.22,22.2,14.64,497.38,22.4,18290.41,11.27,535.0,24.1,0.32287475,19698.86,24.1,16.78,684.21,28.39,117.110985,3978.7336,0.029434236,90.15306,4279.6704,0.021065421,t_motor_AT2814KV900,apc_propellers_8x3_75
