        62x16_5_1200_51_780                                 (62x16_5_1200_51_780.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
         8.9        0.12      0.0864      0.3397      0.4538      76.894    3671.289     278.538  
        13.4        0.17      0.1294      0.3429      0.4590      77.779    3713.773     281.011  
        17.9        0.23      0.1719      0.3464      0.4653      78.825    3763.337     283.934  
        22.4        0.29      0.2139      0.3503      0.4727      80.072    3823.522     287.081  
        26.8        0.35      0.2551      0.3544      0.4812      81.521    3892.558     290.453  
        31.3        0.40      0.2969      0.3593      0.4889      82.835    3954.513     294.500  
        35.8        0.46      0.3361      0.3633      0.4992      84.578    4038.595     297.872  
        40.3        0.52      0.3768      0.3675      0.5069      85.866    4099.666     301.244  
        44.7        0.58      0.4166      0.3715      0.5148      87.207    4164.276     304.616  
        49.2        0.64      0.4515      0.3739      0.5259      89.084    4253.669     306.415  
        53.7        0.69      0.4885      0.3761      0.5333      90.358    4314.739     308.438  
        58.2        0.75      0.5240      0.3775      0.5407      91.618    4374.039     309.562  
        62.6        0.81      0.5576      0.3780      0.5479      92.825    4431.569     309.787  
        67.1        0.87      0.5893      0.3773      0.5544      93.925    4484.673     309.337  
        71.6        0.92      0.6153      0.3745      0.5622      95.239    4547.513     307.089  
        76.1        0.98      0.6433      0.3712      0.5663      95.937    4581.146     304.391  
        80.5        1.04      0.6695      0.3667      0.5692      96.433    4604.158     300.570  
        85.0        1.10      0.6937      0.3609      0.5706      96.674    4615.664     295.849  
        89.5        1.15      0.7190      0.3545      0.5692      96.446    4605.043     290.678  
        94.0        1.21      0.7395      0.3460      0.5672      96.097    4588.227     283.709  
        98.4        1.27      0.7586      0.3363      0.5631      95.400    4555.479     275.841  
       102.9        1.33      0.7762      0.3256      0.5571      94.368    4505.915     266.848  
       107.4        1.39      0.7941      0.3144      0.5485      92.933    4437.764     257.856  
       111.8        1.44      0.8093      0.3019      0.5383      91.216    4354.567     247.515  



         PROP RPM =       1440

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3342      0.4458      98.055    4291.727     325.973  
         4.5        0.05      0.0397      0.3366      0.4489      98.739    4321.819     328.446  
         8.9        0.11      0.0793      0.3392      0.4527      99.584    4358.107     330.919  
        13.4        0.16      0.1188      0.3421      0.4573     100.590    4402.361     333.841  
        17.9        0.21      0.1579      0.3453      0.4627     101.783    4454.580     336.764  
        22.4        0.26      0.1967      0.3487      0.4690     103.178    4515.651     340.136  
        26.8        0.32      0.2349      0.3524      0.4763     104.774    4585.572     343.733  
        31.3        0.37      0.2723      0.3563      0.4847     106.625    4666.113     347.555  
        35.8        0.42      0.3104      0.3608      0.4920     108.234    4736.919     352.051  
        40.3        0.48      0.3460      0.3646      0.5019     110.379    4831.622     355.648  
        44.7        0.53      0.3832      0.3685      0.5088     111.922    4898.888     359.470  
        49.2        0.58      0.4198      0.3722      0.5161     113.531    4968.809     363.067  
        53.7        0.64      0.4517      0.3744      0.5264     115.770    5067.052     365.315  
        58.2        0.69      0.4860      0.3767      0.5333     117.299    5133.433     367.563  
        62.6        0.74      0.5189      0.3784      0.5403     118.841    5200.698     369.136  
        67.1        0.79      0.5464      0.3783      0.5496     120.880    5290.976     369.136  
        71.6        0.85      0.5763      0.3780      0.5554     122.140    5345.851     368.687  
        76.1        0.90      0.6046      0.3768      0.5606     123.293    5396.300     367.563  
        80.5        0.95      0.6313      0.3745      0.5651     124.286    5439.668     365.315  
        85.0        1.01      0.6563      0.3712      0.5686     125.077    5474.186     362.167  
        89.5        1.06      0.6797      0.3668      0.5711     125.600    5497.198     357.896  
        94.0        1.11      0.7015      0.3612      0.5722     125.841    5507.819     352.276  
        98.4        1.16      0.7219      0.3544      0.5717     125.734    5503.394     345.756  
       102.9        1.22      0.7408      0.3467      0.5696     125.278    5483.037     338.113  
       107.4        1.27      0.7583      0.3379      0.5658     124.460    5446.749     329.570  
       111.8        1.32      0.7747      0.3281      0.5603     123.240    5394.530     320.128  



         PROP RPM =       1560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3342      0.4455     124.581    5033.419     382.625  
